PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,HasAge,FamilySize,IsAlone,FarePerPerson,LogFare,LogAge,Pclass_x_Fare,Age_x_IsAlone,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Rare,Deck_A,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Deck_Unknown,AgeGroup_Child,AgeGroup_Teen,AgeGroup_Adult,AgeGroup_Senior
1,0,3,22.0,1,0,7.25,1,2,0,3.625,2.1102132003465894,3.1354942159291497,21.75,0.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2,1,1,38.0,1,0,71.2833,1,2,0,35.64165,4.2805931204649,3.6635616461296463,71.2833,0.0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
3,1,3,26.0,0,0,7.925,1,1,1,7.925,2.188856327665703,3.295836866004329,23.775,26.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
4,1,1,35.0,1,0,53.1,1,2,0,26.55,3.9908341858524357,3.58351893845611,53.1,0.0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
5,0,3,35.0,0,0,8.05,1,1,1,8.05,2.2027647577118348,3.58351893845611,24.150000000000002,35.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
6,0,3,28.0,0,0,8.4583,0,1,1,8.4583,2.246892662898172,3.367295829986474,25.374899999999997,28.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
7,0,1,54.0,0,0,51.8625,1,1,1,51.8625,3.967694202798607,4.007333185232471,51.8625,54.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
8,0,3,2.5,3,1,21.075,1,5,0,4.215,3.094445746490024,1.252762968495368,63.224999999999994,0.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
9,1,3,27.0,0,2,11.1333,1,3,0,3.7111,2.4959537387180646,3.332204510175204,33.3999,0.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
10,1,2,14.0,1,0,30.0708,1,2,0,15.0354,3.436268471383741,2.70805020110221,60.1416,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
11,1,3,4.0,1,1,16.7,1,3,0,5.566666666666666,2.8735646395797834,1.6094379124341003,50.099999999999994,0.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
12,1,1,54.5,0,0,26.55,1,1,1,26.55,3.3160025355989236,4.0163830207523885,26.55,54.5,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
13,0,3,20.0,0,0,8.05,1,1,1,8.05,2.2027647577118348,3.044522437723423,24.150000000000002,20.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
14,0,3,39.0,1,5,31.275,1,7,0,4.4678571428571425,3.4742929367327062,3.6888794541139363,93.82499999999999,0.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
15,0,3,14.0,0,0,7.8542,1,1,1,7.8542,2.180891922715322,2.70805020110221,23.5626,14.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
16,1,2,54.5,0,0,16.0,1,1,1,16.0,2.833213344056216,4.0163830207523885,32.0,54.5,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
17,0,3,2.5,4,1,29.125,1,6,0,4.854166666666667,3.405355391810819,1.252762968495368,87.375,0.0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
18,1,2,28.0,0,0,13.0,0,1,1,13.0,2.639057329615259,3.367295829986474,26.0,28.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
19,0,3,31.0,1,0,18.0,1,2,0,9.0,2.9444389791664403,3.4657359027997265,54.0,0.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
20,1,3,28.0,0,0,7.225,0,1,1,7.225,2.1071782966514356,3.367295829986474,21.674999999999997,28.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
21,0,2,35.0,0,0,26.0,1,1,1,26.0,3.295836866004329,3.58351893845611,52.0,35.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
22,1,2,34.0,0,0,13.0,1,1,1,13.0,2.639057329615259,3.5553480614894135,26.0,34.0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
23,1,3,15.0,0,0,8.0292,1,1,1,8.0292,2.2004637699272855,2.772588722239781,24.0876,15.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
24,1,1,28.0,0,0,35.5,1,1,1,35.5,3.597312260588446,3.367295829986474,35.5,28.0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
25,0,3,8.0,3,1,21.075,1,5,0,4.215,3.094445746490024,2.1972245773362196,63.224999999999994,0.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
26,1,3,38.0,1,5,31.3875,1,7,0,4.483928571428572,3.4777725458882283,3.6635616461296463,94.1625,0.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
27,0,3,28.0,0,0,7.225,0,1,1,7.225,2.1071782966514356,3.367295829986474,21.674999999999997,28.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
28,0,1,19.0,3,2,100.2688,1,6,0,16.711466666666666,4.61777836776278,2.995732273553991,100.2688,0.0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
29,1,3,28.0,0,0,7.8792,0,1,1,7.8792,2.1837114628556327,3.367295829986474,23.6376,28.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
30,0,3,28.0,0,0,7.8958,0,1,1,7.8958,2.1855792552411137,3.367295829986474,23.6874,28.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
31,0,1,40.0,0,0,27.7208,1,1,1,27.7208,3.357621598945279,3.713572066704308,27.7208,40.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
32,1,1,28.0,1,0,100.2688,0,2,0,50.1344,4.61777836776278,3.367295829986474,100.2688,0.0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
33,1,3,28.0,0,0,7.75,0,1,1,7.75,2.169053700369523,3.367295829986474,23.25,28.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
34,0,2,54.5,0,0,10.5,1,1,1,10.5,2.4423470353692043,4.0163830207523885,21.0,54.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
35,0,1,28.0,1,0,82.1708,1,2,0,41.0854,4.420896324687287,3.367295829986474,82.1708,0.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
36,0,1,42.0,1,0,52.0,1,2,0,26.0,3.970291913552122,3.7612001156935624,52.0,0.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
37,1,3,28.0,0,0,7.2292,0,1,1,7.2292,2.1076888046179385,3.367295829986474,21.6876,28.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
38,0,3,21.0,0,0,8.05,1,1,1,8.05,2.2027647577118348,3.091042453358316,24.150000000000002,21.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
39,0,3,18.0,2,0,18.0,1,3,0,6.0,2.9444389791664403,2.9444389791664403,54.0,0.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
40,1,3,14.0,1,0,11.2417,1,2,0,5.62085,2.5048481563289,2.70805020110221,33.7251,0.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
41,0,3,40.0,1,0,9.475,1,2,0,4.7375,2.3489914658082016,3.713572066704308,28.424999999999997,0.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
42,0,2,27.0,1,0,21.0,1,2,0,10.5,3.091042453358316,3.332204510175204,42.0,0.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
43,0,3,28.0,0,0,7.8958,0,1,1,7.8958,2.1855792552411137,3.367295829986474,23.6874,28.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
44,1,2,3.0,1,2,41.5792,1,4,0,10.3948,3.7513658711253766,1.3862943611198906,83.1584,0.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
45,1,3,19.0,0,0,7.8792,1,1,1,7.8792,2.1837114628556327,2.995732273553991,23.6376,19.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
46,0,3,28.0,0,0,8.05,0,1,1,8.05,2.2027647577118348,3.367295829986474,24.150000000000002,28.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
47,0,3,28.0,1,0,15.5,0,2,0,7.75,2.803360380906535,3.367295829986474,46.5,0.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
48,1,3,28.0,0,0,7.75,0,1,1,7.75,2.169053700369523,3.367295829986474,23.25,28.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
49,0,3,28.0,2,0,21.6792,0,3,0,7.226400000000001,3.121448204868825,3.367295829986474,65.0376,0.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
50,0,3,18.0,1,0,17.8,1,2,0,8.9,2.9338568698359033,2.9444389791664403,53.400000000000006,0.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
51,0,3,7.0,4,1,39.6875,1,6,0,6.614583333333333,3.705920919968788,2.0794415416798357,119.0625,0.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
52,0,3,21.0,0,0,7.8,1,1,1,7.8,2.174751721484161,3.091042453358316,23.4,21.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
53,1,1,49.0,1,0,76.7292,1,2,0,38.3646,4.353230991152628,3.912023005428146,76.7292,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
54,1,2,29.0,1,0,26.0,1,2,0,13.0,3.295836866004329,3.4011973816621555,52.0,0.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
55,0,1,54.5,0,1,61.9792,1,2,0,30.9896,4.142804513146981,4.0163830207523885,61.9792,0.0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
56,1,1,28.0,0,0,35.5,0,1,1,35.5,3.597312260588446,3.367295829986474,35.5,28.0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
57,1,2,21.0,0,0,10.5,1,1,1,10.5,2.4423470353692043,3.091042453358316,21.0,21.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
58,0,3,28.5,0,0,7.2292,1,1,1,7.2292,2.1076888046179385,3.3843902633457743,21.6876,28.5,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
59,1,2,5.0,1,2,27.75,1,4,0,6.9375,3.3586377672433594,1.791759469228055,55.5,0.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
