PassengerId,Survived,Age_x_IsAlone,Deck_C,Deck_T,Deck_Unknown,Embarked_S,FamilySize,FarePerPerson,HasAge,LogAge,LogFare,Parch,Pclass,Pclass_x_Fare,Sex_male,SibSp,Title_Master,Title_Miss,Title_Mr,Title_Mrs
1,0,0.0,0,0,1,1,2,3.625,1,3.1354942159291497,2.110213200346589,0,3,21.75,1,1,0,0,1,0
2,1,0.0,1,0,0,0,2,35.64165,1,3.6635616461296463,4.2805931204649,0,1,71.2833,0,1,0,0,0,1
3,1,26.0,0,0,1,1,1,7.925,1,3.295836866004329,2.188856327665703,0,3,23.775,0,0,0,1,0,0
4,1,0.0,1,0,0,1,2,26.55,1,3.58351893845611,3.990834185852436,0,1,53.1,0,1,0,0,0,1
5,0,35.0,0,0,1,1,1,8.05,1,3.58351893845611,2.2027647577118348,0,3,24.15,1,0,0,0,1,0
6,0,28.0,0,0,1,0,1,8.4583,0,3.367295829986474,2.246892662898172,0,3,25.3749,1,0,0,0,1,0
7,0,54.0,0,0,0,1,1,51.8625,1,4.007333185232471,3.967694202798607,0,1,51.8625,1,0,0,0,1,0
8,0,0.0,0,0,1,1,5,4.215,1,1.252762968495368,3.094445746490024,1,3,63.225,1,3,1,0,0,0
9,1,0.0,0,0,1,1,3,3.7111,1,3.332204510175204,2.4959537387180646,2,3,33.3999,0,0,0,0,0,1
10,1,0.0,0,0,1,0,2,15.0354,1,2.70805020110221,3.436268471383741,0,2,60.1416,0,1,0,0,0,1
11,1,0.0,0,0,0,1,3,5.566666666666666,1,1.6094379124341005,2.873564639579784,1,3,50.1,0,1,0,1,0,0
12,1,54.5,1,0,0,1,1,26.55,1,4.0163830207523885,3.316002535598924,0,1,26.55,0,0,0,1,0,0
13,0,20.0,0,0,1,1,1,8.05,1,3.044522437723423,2.2027647577118348,0,3,24.15,1,0,0,0,1,0
14,0,0.0,0,0,1,1,7,4.467857142857143,1,3.688879454113936,3.4742929367327062,5,3,93.825,1,1,0,0,1,0
15,0,14.0,0,0,1,1,1,7.8542,1,2.70805020110221,2.180891922715322,0,3,23.5626,0,0,0,1,0,0
16,1,54.5,0,0,1,1,1,16.0,1,4.0163830207523885,2.833213344056216,0,2,32.0,0,0,0,0,0,1
17,0,0.0,0,0,1,0,6,4.854166666666667,1,1.252762968495368,3.405355391810819,1,3,87.375,1,4,1,0,0,0
18,1,28.0,0,0,1,1,1,13.0,0,3.367295829986474,2.639057329615259,0,2,26.0,1,0,0,0,1,0
19,0,0.0,0,0,1,1,2,9.0,1,3.4657359027997265,2.9444389791664403,0,3,54.0,0,1,0,0,0,1
